,Language,alder,ancestor,angle,ant,apple,arm,arse,aspen,axe,barley,battle,beam,"beam, bridge",bean,bear,beard,beast,bee,beech,beer,belly,berry,birch,bird,bison,blackberry,blood,boar,body,bone,bonfire,bow,bowels,brain,branch,breast,breathe,brother,brother's wife,brother-in-law's wife,brow,butter,buttock,cereal,cheek,cheese,cherry,chin,copy,corn,corner,corpse,cow,cow/bull,crane,cream,crow,cub,daughter,daughter-in-law,dawn,day,"dead person, death",dog,door,dry,duck,dust,dwelling,eagle,ear,earth,eel,egg,elbow,elm,evening,excrement,eye,farrow,father,father-/mother-in-law,"fault, sin",fear,fee,field,fire,fish,flax,flea,flesh,fly,foam,foot,forearm,fort,fox,gland,glue,goat,"god, i.e. 'shining'",goose,grandfather/mother's brother,grandson/nephew,grass,grease,grouse,grub,hail,hair,half,hand,harvest,hate,hazel,head,heart,hedgehog,heel,hide,honey,hook,horn,hornbeam/oak,horror,horse,house,husband's brother,ice,intestines,jaw,kidney,kneecap,lake,lamb,lap,law,ledge->tooth,leg,light/bright,lighting/strike,lightning,lip,liver,louse,louse (egg),lung,lynx,man,maple,mattock,mead,meat,metal,milk,millstone,mist,moon/month,mother,mount,mouse,mouth,nail,name,navel,neck,nest,night,northwind,nose,nut,oak,oats,onion,otter,"ox, bull",part,pea,penis,people,person,pine,pond,pouch,power,"power, strength",price,ram,raven,reed,resin,rib,river,road,root,ruler,rye,salmon,salt,sea,sheep,shell,shoulder,sinew,sister,skin,skull,sky/cloud,sleep,smoke,snake,snow,son,space,sparrow,spear/pike,spelt,spleen,spring,squirrel,staff,star,stick,stone,stranger/guest,summer,sun,swamp,sweat,swine,taste,tear,testicle,thorn,throat,thrush,thunder,tongue,tool,tooth,tortoise,"tree, wood",tribe,turnip,udder,victory,village,vital force,vulva,war,wasp,water,wax,wealth/cattle,wheat,wheel,wheel/chariot,whole,widow,winter,wolf,woman,womb,wool,worm,year,yesterday,yoke
50,Old Norse,ALR,,ANJ,MR,APL,ARMR,ARS,ASP,KS,,HH,KRNT,PR,PN,,PRRR,,P,PK,AL,,AKRN,PJRK,,STJR,,,JFR,,,FR,ARFR,KRN,MRKR,,SPN,ANT,PRR,,,PRN,,LN,,KN,SR,,,,KRN,,NR,,K,TRN,RJM,,HH,TTR,SNR,ASTR,TKR,NKLFR,HNTR,TR,R,ANT,FRS,RP,AR,AR,KM,,AK,ALN,,,,AK,,FR,SFFR,,KR,,AKR,,FSKR,LN,FL,,M,,FTR,,PJRK,,AKFN,,,TR,KS,,,,SMJR,R,,,,,,AN,HTR,HSL,HF,JRT,AKL,,MS,,HK,HRN,,KRST,MR,TMPR,,JK,R,KPTR,LNT,L,,,,,KMPR,,LKR,,,,,LS,,,,FR,LNR,,MJR,RR,AR,,KFRN,,MN,MR,,MS,AS,,NFN,NFL,MN,,NT,SKR,NS,,AK,,,ATR,AKS,,,FSL,LR,MR,JLNR,LKR,MJ,,,,FR,,HLMR,KF,,,FN,ART,RTR,RKR,LKS,SLT,,R,,,,SSTR,FLTR,JRN,NFLL,SFFN,TN,NR,SNJR,SNR,,SPR,AJN,PR,,FR,AKRN,,STJRN,KTR,HMR,KSTR,SMR,SN,,SFT,SR,,TR,,,,RSTR,R,TNK,SKPT,TN,,TR,J,,JKR,FK,,A,,HR,,FTN,,F,,RL,JL,,,K,ALFR,KN,,AL,ARMR,FR,AKKR,AK
51,Old Persian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKPTNTTT,,,,,,,,,,
52,Old Prussian,ALSKNT,AN,,,APL,ARM,,APS,,,,,,PP,,,SRNS,PT,,AL,,,PRS,,TRS,,,APRN,,,PN,,,MSJN,SNS,SPNS,,PRT,,,APR,,,,,,,,,SRN,,NS,,,KR,,,,TKT,,,,,SNS,TRS,,ANTS,,,ARLS,ASNS,SM,ANKRJS,,ALTS,,,,AKS,PRSXN,,,,,,,,,LN,,MNS,MS,SPN,PT,,,,,,ARSXN,TS,SNS,AS,,,,TTRS,JRMS,,,,,ASNS,,,,SR,,,MSS,,,SRS,,,,,,,,,,,ASRN,,,,,,,,MLT,,,,,PLT,LSS,ARS,,,MT,KR,,,JRNS,,MNK,MT,,,AST,,AMNS,NPS,,,NKTN,,NS,,,AS,,,,,,,LTS,,,,TNTMKS,,,,,,SLM,,,AP,PNTS,,,RJS,LLS,SL,MR,ANS,,,,SSTR,PLNS,KRPTS,,,TMS,,SNJS,SNS,,SPRKLS,ASMS,,PLSN,,AR,,,,,,,SL,,,,,,,,,,,ANSS,ARNKP,,,TRN,TT,,,,ASPTN,,,KRJS,APS,ANTN,,PK,PR,,KLN,,AT,SM,ALKS,JN,,ALNS,ARMNN,,,
53,Old Slavonic Perun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTFSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Ormuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPK,,,,,,,K,,,ANKK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ML,,,,,NKKX,,,,,,,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,AKK,,,,,,,,,,,,,,,,
55,Oscan,,,,,,,,,,,,,,,,,,,,,,,,,TRF,,,,,,PRS,,,,,,ANMM,FRTRM,,,,,,,,,,,,,,,,PFF,,,,,,,,,,,,,,,TRPM,,,HNTRS,,,,,,,,,PTR,,,,,,,,,,,,,,,,,,,,TF,,,,,,,,,,,,,KTSMNT,,,,,,,,,,,,,,,,,,,,,,,,,,LFKS,,,,,,,,,,,,,,,,,,,MTRS,,,,,,,,,,,,,,,,,,SKPTNTTT,,,LFFRS,,,,,NR,,,,,,,,,,,RKTR,,,,,,,,,,,,,,MFT,,,,,,,FR,,,,,,,,,,,,,,,,,,,,,,,,,,TT,,,FNKTR,,,,,,,,,,,,SKPTNTTT,,,,,,,,FSK,,
56,Ossetian,,,NKR,,,ARM,,,,JJ,,,,,RS,,,,,,,,PRS,,,,,,,,,,,,,,,RFT,,,,KRF,,,,,,,,,,,,0RSNPNSS,,,,,,,,,,,,,,,,,,SSKS,,,,,,,,,FT,,,,,,,,,,,,FNK,FT,,,,,,,,,,,,,,KLM,,,,,,,,,SSRTT,ASN,,,,,SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT,,,,,,MMJ,MT,,,,,,,,,,,,,,,,ART,,,,,,,,,,,,,,,,,FRS,,,,,,,,,,,,,,,SSR,,,,,,,,,,,,,,,S0L,,,,,,,,,,,,,,,,,,TTNTK,,,,,,,,,,,,,,,,,KLKS,,,,,,,,,,,
57,Palaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,,,,,,,,,,,,,,,,KRTT,,,,MLTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HPNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Pashto,,NK,,,,,,,,,,,,,AK,,TSR,,,,NS,,,,,,,,,,,,,MSK,,,,RR,,AR,RTS,,KNT,,,,,,,,KT,,,K,SN,,KRK,,LR,NKR,,,,SP,AR,,HL,,,,KK,TSMK,,HJ,,,,,,,PLR,KK,,,,,,,,FRK,,MX,,PK,,,,,,,,,,,,,,,,,,,,,,,SR,SSK,,,,,KKR,,,,,LR,,,,,,,,,,,,,,,,TSKR,,,,,,,,,,,XT,,,MXT,MR,KR,MKK,,NK,NM,,,MNTSL,,,,,,,,,,,,,,MR,,,,,,,,RK,,,,,,AL,,,,,,,,,,KR,,,,KP,LK,NTK,,S,,,,,,,,,STR,,,,,,,KL,,,,,ASK,,,TNTR,JP,,,,LRK,,,,,,,,,,,,,,,,,,JM,L,KTS,,AR,,,,
59,Persian,,,,MRS,,,,,,JF,,,,,SRS,,,,,,,,,,,,,,,ASTKSN,,,,MKS,SKS,PSTN,,PRTR,,,APR,KRP,,,KN,,,,,,,,,KF,,RKN,,,TKSTR,,,,,SK,TFR,,,,,,KS,SMN,,S,ARN,,,KK,,,PTR,,,,MST,,,,,,,MKS,,P,TS,PRS,RP,,,,,KS,,NF,,,TTRF,KRM,,,,,,,,,,,PSN,,,KNK,SKS,,,,,,AK,,,,,,,,,,,,,,LP,JKR,,,,,,,,,,AHN,,,,M,MTR,,MS,,NL,NM,NF,,,,,NHM,,,,,,,,,,,,,,,NR,,AT,PR,,,,,,PM,RS,RST,,,,,,,SN,,SHR,,SR,,SP,TT,,,,,PRST,,,,PHR,FRFR,,STR,,ASMN,,,FRN,,,,TS,,,,,,TNTR,HSPN,KFT,TNTN,,TRKST,,,,,,,,KRSR,,,,,,,KRK,,PF,T,FRK,SN,,KRS,,,TK,AK
60,Phrygian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRTR,KLRS,ANTR,,,,,ASN,,,,,,,,,,,,,,,,,,,KNS,,,,,,,,SMLN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,,,,,,,,,,,,,,,,,AKSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTR,,,,,,,,,,,,,,,,,,,,,,,,,,ANR,PLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PT,,,,,,,,,,NK,,,,,,
61,Polish,ALX,,,MRK,,,,,,,,KRST,,PP,,PRT,SRS,SS,PK,,,JKT,PRSS,,TR,,,APRS,KRP,KSK,PRSN,,,MSK,,,AN,PRT,S,JTR,PR,,,,,SR,SRSN,,,SRN,KT,,,,SR,,SRK,,,SNX,,,,SK,TRS,,,PRX,,ARS,,SM,AKRS,JJ,KK,AS,ASR,,AK,PRS,,SKR,,,,,AJN,PSKRS,LN,PXX,,MX,,PS,,,,,KLJ,,TS,KS,AJ,NSR,SN,SMR,STRS,SR,KRT,,,,JSN,,,,SRS,JS,,,,,KR,KRP,0RTNNKKK,,TM,TSRS,KR,,,LTS,,JSR,JN,,,KP,,S,PRN,,,,,,,RS,,KLN,MTK,MT,KR,,,SRN,,,MTK,KR,MS,,NJTK,AM,,,NST,NK,,,ARSX,,AS,,ATR,,,,,LT,MS,JTT,,PLS,NR,,,,RN,SSM,,,,,,,,SS,SL,,AK,,,,SSTR,,,NP,,TM,,SNK,SN,,,AKK,,SLTSN,ASN,ARK,,,SRTS,KMN,KSK,,SSNS,,,SN,,TRSK,,SRN,,TRST,,,,,S,TRS,,RSP,AM,AK,AS,,,KR,AS,AT,,,,,K,ST,T,SM,ALK,SN,SRP,AN,,ATK,,
62,Portuguese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Protoslavonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLNN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Russian,ALLKS,FNK,AKL,MRFJ,JPLKPLXJPPK,,,,,AFN,,KRJT,PRFN,PP,,PRT,SFRR,PSL,PK,,,JKT,PRJS,,TR,,,FPRR,,ASTF,,RKT,,MSK,SK,,FNN,PRT,SLFK,JTRFF,PRFF,,,,,SR,SRJMKS,,,SRN,KT,NFF,,KFJT,SRFLL,,SRK,KTTTS,TKK,SNKS,ATR,,,SK,TFRR,,ATK,PRKS,,ARJL,AS,SML,AKRR,JJK,LKTTT,FJS,FSR,KKTT,AK,PRS,,SFKRFF,,SRTT,MST,,AKNN,PSKRR,LN,PLKS,MJS,MKS,PN,PSJ,PSKS,PRK,,,KLJ,,TF,KSS,AJ,NSTR,SN,,TTRF,SRFF,KRT,,,,ASNN,,,,SRTS,JS,,MKS,,KKTT,KRF,KRP,,,TM,TFRR,AKR,,,LTFJ,,ASR,JKNJNK,PKS,,SP,AKRK,LK,,MLNJ,LPSTT,AKR,,NT,LKSKJ,RSS,,KLN,MTK,MJT,KRFF,,,SRNF,,MSK,MTT,KR,MSS,AST,FNKRRNLRTNL,AMJ,,,NST,NKK,SFR,NS,ARKS,,AFJS,SRMS,FTR,,,,,LT,MS,,,MSN,NRF,PLLSJ,,,FRN,SLM,,,,PTT,FRT,,RSS,LSSS,SLL,MR,AFK,,,,SSTR,PLN,SRP,NP,SN,TM,,SNK,SN,TLP,,AKL,,SLSJNK,FSN,FFRK,,,SRTT,KMNN,KSTT,,SLNS,PLT,,SFN,,,,TJRN,,TRST,,JSK,SP,TSN,SLFF,TRF,,RP,FMJ,FK,FSS,,PST,KR,AS,FT,,,PRJ,,KLS,,FTF,SM,FLK,SN,SRPJNK,FLN,,FTKSJ,,AK
65,Saka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Sanskrit,,,ANKS,FMR,,ARM,,,,AF,STT,,,,RKS,,,,,,ATR,,PRJS,FS,,,ASRJ,FPT,KRP,AS0,,,HR,MJNN,SK,STN,ANS,PRTR,,ATR,PR,SRPS,SRN,,HN,,,SMSR,,,,,,KS,,,,,THTR,SNS,ASS,AHR,NST,SFN,TFR,TRST,ATS,TSTTNTTTT,,,AS,KS,,,AN,,,,AKSNTTTTT,,PTR,SFSR,AKS,KR,MT,AJR,AKN,,,PLS,MMS,,FN,PT,TS,PRT,,,,,TF,KNTR,,NPT,,,PRTRJ,KRM,,PL,SM,,,RSTS,,KPXL,RT,,PRSN,MS,,,SRS,,,,TM,TFR,,,,,KNKL,,,PKSS,AS,JMP,KSK,RKT,,,,,,,KLMN,,FR,,MT,MT,KRFS,AS,KSFTT,KRFN,,MS,MTR,JRS,MS,ASNNNTTT,FNKRRNL,NMN,NP,MN,NT,NKT,,NS,,,,,ATR,AKSN,,,PSS,RTT,MN,,,,NR,PL,FSN,ARN,,,RPR,PRSS,AP,PN0,,RJN,,,SLL,MRT,AFK,SNK,SPT,J,SFSR,,SRS,NPS,SFPNS,TM,,SNH,SN,TLP,,,,PLHN,FSNT,,,STRPS,,ASMN,,SM,SRS,,SFTT,SKR,JST,ASR,,FN,RMN0,,TNT,JF,,TNTM,,TR,,,ATR,,FS,A,,,,ATN,,PS,PR,R0,KKR,SRF,FTT,HMNT,FRK,JN,,ARN,,FTS,HS,ANKT
67,Scottish Gaelic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Sebian,,,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Serb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTRF,,,,,,,,,,,,,,,,,,,,SNJ,,,,,,,,,,,,,,,,,,,,,,SFKRF,,,,,,,,,,,,,,,,,,,,,AJK,NKK,,,,,,,,,,,,,,,,,,,,,,,,TFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATFK,,,,,,,,,
70,Serbian,,FMLMMPR,,MRF,JPK,,,JSK,SKR,JKM,,KRT,PRFN,,,PRT,SFR,PSL,PKF,,,JKT,PRS,PTK,,,,FPR,,KST,,STRL,KRF,MSK,,PRS,,PRT,,,,,,STRK,,SR,TRSNJ,ASM,,SRN,KT,,ANKK,KRF,STRL,,PLKKT,AKT,KSR,,SR,,,KR,TFR,,PTK,,,AR,AH,,JKL,JJ,LKT,,FSS,KK,AK,PRS,,,,,,,,,LN,PH,MS,MH,,STPL,,PRK,LSK,,LPK,ANKKT,,KSK,,,,MST,TTRP,KLST,ASPLS,,,,JSN,,,,SRS,JS,PT,MSN,,KK,RK,KRP,,MRKF,TM,,,ATRP,KPK,LTJ,KSKKLN,,JNJ,,,,,TRX,,MNJ,,JTR,FS,NJT,,RS,,,MTK,MT,PLT,,,SRFNJ,,MSK,,,MS,AST,NKT,AM,,TM,NST,NK,SFR,NS,,RST,AFS,,FTR,,,KRSK,PS,LT,,JL,LKF,M,,,,AFN,KFRN,,,RPR,,PT,KRNJ,KRLJ,RS,,SL,,AFK,SKLK,KK,,,,,NP,,,,SNK,SN,,FRPK,AKL,PRSN,SLSN,KTSFSPRNK,FFRK,,SFST,KRT,,,,SNS,,,SFNJ,,,,TRN,,TRST,,JSK,KPK,,,TRF,,,KRT,,,,PST,,AS,,FSK,,,KTR,KL,,,SM,FK,SN,TRP,FN,KRF,,JS,JRM
71,Serbo-Croatian,,ANK,,,,,,,,,,,,,,,,,,,ATRP,,,,,,,,,,,,,,,,,,SF,,APRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Silesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TNTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Slovak,,FNK,,MRFK,JPLK,RMN,,,,,,,,,,PRT,SFR,FSL,PK,,ATRP,JHT,PRS,,TR,MRS,,,,KST,,,,MSK,,,,PRT,,,PRF,,,,,,SRSN,,,,,,,HFT,SRF,,STRK,KTTS,TSR,,,,,SK,,,,PRK,,ARL,AX,SM,AHR,,LKT,,FSR,KKT,AK,PRS,,SFKR,,,,,AHN,,,PLX,MS,MX,PN,PS,,,,,KLJ,,,HS,AJ,,SN,,TTRF,SRF,,,,,JSN,,,,SRTS,JS,,,,,,RP,,,,,,ATRP,,,,JSR,JN,,,,,LK,,,,,,NT,PLK,RS,,KLN,,,KRF,,,,,MSK,MTK,HR,MS,AST,NT,MN,,,NST,NK,SFR,NS,ARX,,,,FTR,,,,,,MS,,,,,,,PRN,FRN,,,,,,,,,LSS,,MR,AFK,,,,SSTR,,,NP,,TM,,SN,SN,,,,,SLSN,,FFRK,,,SRT,KMN,HST,,SLNS,PLT,,SFN,,,,TRN,,TRST,,JSK,,TSN,,TRF,,RP,FM,,,,PK,,AS,FT,,,,,,,FTF,SM,FLK,SN,SRP,,,FX,,
74,Slovenian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTFK,,,,,,,,,,,,,,,PLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NR,,,,,,,,,,,,,,,,,,,,,PTR,SKR,,,,,,,,,,,,,,,,,,,,,APL,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTR,,,,,NMPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,,,,,,,,,
76,Thracian,,,,,,,,,,,,,,,,,,,,,,,PRSS,,,,,APRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN,TR,,,,,,,SML,,,,,,,,,,,,,,,,,,,,,,,,PRKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RSS,,,,,,,,,,,,,,,,,SKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATRNS,,,,,,,,,,,,,,,,
77,Tocharian,,,,ARM,,,,,,,KT,,,,,,SR,,,,,AK,,,,,ASR,,,AST,PR,,,MSNT,,,ANKM,PRKR,,,PRN,SLP,,AT,SNM,,,,,,,NT,,K,,,,,KKR,,,,NK,K,TR,,,PRS,,,,TKM,,,,,,,AK,,PKR,,,,,,,,,,MS,,,P,,PRK,,,,,,,,,,SMR,,,,,,,,,,,,,,,,,,,KRS,,TM,,,,,,,,,PSKN,,KM,,LK,,,,,,,,,AR,,,MT,,,,,,MN,MKR,,,,,NM,,,,NKS,,,,,,,,,,,,,,,,,,,,AR,RN,KLMMTS,,,AP,,ATSK,RK,,LKS,SL,,A,,,,SR,,KRN,,SPN,T,,SNKTSTS,SMSK,TSLP,SPR,,,,,,,SR,,,,SM,SNS,,,S,,AKRN,,,,,,KNT,,,,AR,,,,,AK,AM,,,,AR,,,,,KKL,ASL,,SMPR,ALK,SN,,,,,,AK
78,Umbrian,,,,,,,,,,,,,,,,,,,,,,,,AFF,,,,APRF,,,PR,ARSLTF,,,,,,FRTRM,,,,,,,,,,,,,,,,PM,,,KRNK,KTL,,,,,,,FR,,,,TRMN,,,HNTM,,,,,,,,PRK,PTR,,,,,AKR,,,,,,,,PR,,,,,,ART,T,,,,,,,,,,,,,,,,,,,,,,,KRP,,,,,,,,,,,SKPTNTTT,,,,,FFSS,,,,,,,,,FR,,,,,AHSNS,,,,,MTRR,,,,,NM,,,,,,,,,,,,,,,,,,,,,NRF,,,,,,,,,,,,,,SL,,AFM,,,,,,,,,,,,,,PRFM,,FR,,,,,,,,,,,,,SF,,,,,,,,,,,,,TTM,,,,,,,,,ATR,,,,,,SKPTNTTT,AF,,,,,,,,,
79,Venetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Waneci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AJT,,,,,,,,,,,,,,,,,,,,,
81,Waziri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,,,,,,LKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
